building,year,rent,Income Band,unit,count,band_num,Unit Type,Income Band & Unit Type,count_string,Variable,Annual Household Income,limit_category
B3,2017.25,$532,Low Income: 30-40% AMI,studio,3,1,Studio,Band 1 Studio,3,income_low,20126,Lower Limit
B3,2017.25,$532,Low Income: 30-40% AMI,studio,3,1,Studio,Band 1 Studio,3,income_high,25400,Upper Limit
B3,2017.25,$572,Low Income: 30-40% AMI,1bed,6,1,1-Bed,Band 1 1-Bed,6,income_low,21566,Lower Limit
B3,2017.25,$572,Low Income: 30-40% AMI,1bed,6,1,1-Bed,Band 1 1-Bed,6,income_high,29000,Upper Limit
B3,2017.25,$696,Low Income: 30-40% AMI,2bed,4,1,2-Bed,Band 1 2-Bed,4,income_low,25852,Lower Limit
B3,2017.25,$696,Low Income: 30-40% AMI,2bed,4,1,2-Bed,Band 1 2-Bed,4,income_high,36240,Upper Limit
B3,2017.25,$796,Low Income: 30-40% AMI,3bed,1,1,3-Bed,Band 1 3-Bed,1,income_low,29863,Lower Limit
B3,2017.25,$796,Low Income: 30-40% AMI,3bed,1,1,3-Bed,Band 1 3-Bed,1,income_high,42040,Upper Limit
B3,2017.25,$849,Low Income: 40-60% AMI,studio,17,2,Studio,Band 2 Studio,17,income_low,30995,Lower Limit
B3,2017.25,$849,Low Income: 40-60% AMI,studio,17,2,Studio,Band 2 Studio,17,income_high,38100,Upper Limit
B3,2017.25,$912,Low Income: 40-60% AMI,1bed,33,2,1-Bed,Band 2 1-Bed,33,income_low,33223,Lower Limit
B3,2017.25,$912,Low Income: 40-60% AMI,1bed,33,2,1-Bed,Band 2 1-Bed,33,income_high,43500,Upper Limit
B3,2017.25,$1104,Low Income: 40-60% AMI,2bed,23,2,2-Bed,Band 2 2-Bed,23,income_low,39840,Lower Limit
B3,2017.25,$1104,Low Income: 40-60% AMI,2bed,23,2,2-Bed,Band 2 2-Bed,23,income_high,54360,Upper Limit
B3,2017.25,$1268,Low Income: 40-60% AMI,3bed,4,2,3-Bed,Band 2 3-Bed,4,income_low,46046,Lower Limit
B3,2017.25,$1268,Low Income: 40-60% AMI,3bed,4,2,3-Bed,Band 2 3-Bed,4,income_high,63060,Upper Limit
B3,2017.25,$1033,Moderate Income: 60-100% AMI,studio,3,3,Studio,Band 3 Studio,3,income_low,37303,Lower Limit
B3,2017.25,$1033,Moderate Income: 60-100% AMI,studio,3,3,Studio,Band 3 Studio,3,income_high,63500,Upper Limit
B3,2017.25,$1303,Moderate Income: 60-100% AMI,1bed,6,3,1-Bed,Band 3 1-Bed,6,income_low,46629,Lower Limit
B3,2017.25,$1303,Moderate Income: 60-100% AMI,1bed,6,3,1-Bed,Band 3 1-Bed,6,income_high,72500,Upper Limit
B3,2017.25,$1574,Moderate Income: 60-100% AMI,2bed,4,3,2-Bed,Band 3 2-Bed,4,income_low,55955,Lower Limit
B3,2017.25,$1574,Moderate Income: 60-100% AMI,2bed,4,3,2-Bed,Band 3 2-Bed,4,income_high,90600,Upper Limit
B3,2017.25,$1810,Moderate Income: 60-100% AMI,3bed,1,3,3-Bed,Band 3 3-Bed,1,income_low,64629,Lower Limit
B3,2017.25,$1810,Moderate Income: 60-100% AMI,3bed,1,3,3-Bed,Band 3 3-Bed,1,income_high,105100,Upper Limit
B3,2017.25,$1713,Middle Income: 100-140% AMI,studio,10,4,Studio,Band 4 Studio,10,income_low,60618,Lower Limit
B3,2017.25,$1713,Middle Income: 100-140% AMI,studio,10,4,Studio,Band 4 Studio,10,income_high,92075,Upper Limit
B3,2017.25,$2153,Middle Income: 100-140% AMI,1bed,20,4,1-Bed,Band 4 1-Bed,20,income_low,75772,Lower Limit
B3,2017.25,$2153,Middle Income: 100-140% AMI,1bed,20,4,1-Bed,Band 4 1-Bed,20,income_high,105125,Upper Limit
B3,2017.25,$2594,Middle Income: 100-140% AMI,2bed,14,4,2-Bed,Band 4 2-Bed,14,income_low,90926,Lower Limit
B3,2017.25,$2594,Middle Income: 100-140% AMI,2bed,14,4,2-Bed,Band 4 2-Bed,14,income_high,131370,Upper Limit
B3,2017.25,$2998,Middle Income: 100-140% AMI,3bed,2,4,3-Bed,Band 4 3-Bed,2,income_low,105018,Lower Limit
B3,2017.25,$2998,Middle Income: 100-140% AMI,3bed,2,4,3-Bed,Band 4 3-Bed,2,income_high,152395,Upper Limit
B3,2017.25,$2121,Middle Income: 140-165% AMI,studio,33,5,Studio,Band 5 Studio,33,income_low,74606,Lower Limit
B3,2017.25,$2121,Middle Income: 140-165% AMI,studio,33,5,Studio,Band 5 Studio,33,income_high,104775,Upper Limit
B3,2017.25,$2663,Middle Income: 140-165% AMI,1bed,66,5,1-Bed,Band 5 1-Bed,66,income_low,93258,Lower Limit
B3,2017.25,$2663,Middle Income: 140-165% AMI,1bed,66,5,1-Bed,Band 5 1-Bed,66,income_high,119625,Upper Limit
B3,2017.25,$3206,Middle Income: 140-165% AMI,2bed,45,5,2-Bed,Band 5 2-Bed,45,income_low,111909,Lower Limit
B3,2017.25,$3206,Middle Income: 140-165% AMI,2bed,45,5,2-Bed,Band 5 2-Bed,45,income_high,149490,Upper Limit
B3,2017.25,$3695,Middle Income: 140-165% AMI,3bed,8,5,3-Bed,Band 5 3-Bed,8,income_low,129258,Lower Limit
B3,2017.25,$3695,Middle Income: 140-165% AMI,3bed,8,5,3-Bed,Band 5 3-Bed,8,income_high,173415,Upper Limit
